filename,size_kb,modified,sha256_12,download_link
WTF_Bundle_MANIFEST__Fixed_.csv,0.1,2025-08-11T18:22:59,b5611b46a324,sandbox:/mnt/data/WTF_Bundle_MANIFEST__Fixed_.csv
wholesale2flip_full_bundle_20250811_182300.zip,0.9,2025-08-11T18:23:00,3fbebdd7b5ec,sandbox:/mnt/data/wholesale2flip_full_bundle_20250811_182300.zip
